0,1
vi föredrog att skicka sms och vi bodde grannar  inte min idé förresten  så vi behövde sällan skicka några meddelanden alls,we preferred texting and we didn't live next door my idea by the way so we rarely needed to send any messages at all
jag skulle inte säga att jag är i knipa sa jag,"I wouldn't say I'm in trouble, I said"
mer att jag är  strandsatt,more that I am stranded
jag är inte i närheten av kollektivtrafik och jag får inte upp någon samåkningsbil i appen,I'm not near public transport and I can't get a carpool in the app
 herregud ava,oh my god
var är du jag berättade för honom,where are you I told him
vad fan gör du där det är en timme från campus var inte så dramatisk,what the hell are you doing there it's an hour from campus wasn't that dramatic
jag hade en förlovningsfotografering och det är en halvtimmes bilresa,i had an engagement shoot and it's a half hour drive
trekvart om det är mycket trafik,three quarters if there is a lot of traffic
 åskan dundrade och skakade grenarna på de närliggande träden,the thunder thundered and shook the branches of the nearby trees
jag ryggade tillbaka och drog mig längre in i kuren inte för att det gjorde någon större nytta direkt,I backed off and pulled myself further into the cure not because it did any immediate good
det regnade snett och det stänkte vattendroppar på mig som var så tunga och hårda att de sved när de träffade huden,it rained sideways and splashed water drops on me that were so heavy and hard that they stung when they hit the skin
ett prasslande ljud hördes från joshs sida följt av ett mjukt stönande,a rustling sound was heard from josh's side followed by a soft moan
jag hejdade mig säker på att jag hade hört fel men nej där var det igen,I stopped myself sure I had heard wrong but no there it was again
ännu ett stön,another moan
mina ögon vidgades av skräck,my eyes widened in horror
har du sex eller både viskade och skrek jag på samma gång trots att ingen annan var i närheten,are you having sex or both I whispered and shouted at the same time even though no one else was around
smörgåsen som jag hade stoppat i mig innan jag åkte till fotograferingen hotade med att komma upp igen,the sandwich I had stuffed into me before leaving for the shoot threatened to resurface
det fanns inget  jag upprepar inget  värre än att höra en familjemedlem när de var mitt uppe i ett samlag,there was nothing I repeat nothing worse than hearing a family member in the middle of intercourse
bara tanken fick mig att vilja kräkas,just the thought made me want to throw up
tekniskt sett nej,technically no
 josh lät inte direkt ångerfull,josh didn't exactly sound contrite
ordet tekniskt var rätt signifikant i sammanhanget,the word technical was quite significant in the context
det krävdes inget geni för att tyda joshs vaga svar,it didn't take a genius to decipher josh's vague answer
han kanske inte hade samlag men något var på gång och jag hade ingen lust att ta reda på vad detta något var,maybe he wasn't having intercourse but something was going on and I had no desire to find out what this something was
josh chen,josh chen
 du det var du som ringde mig,you it was you who called me
 han måste ha täckt över telefonen med handen för det han sa sedan hördes bara dämpat,he must have covered the phone with his hand because what he said next was only muffled
jag hörde ett mjukt feminint skratt följt av ett skrik och jag ville bleka mina öron mina ögon mina tankar,i heard a soft feminine laugh followed by a scream and i wanted to turn white my ears my eyes my thoughts
en av killarna tog min bil för att köpa mer is sa josh rösten tydlig igen,one of the guys took my car to buy more ice josh said his voice clear again
men oroa dig inte jag löser det,but don't worry i will fix it
släpp en nål på din exakta plats och se till att ha telefonen i handen,drop a pin on your exact spot and make sure you have the phone in your hand
har du kvar pepparsprayen som du fick i födelsedagspresent av mig förra året ja,do you still have the pepper spray that you got as a birthday present from me last year yes
tack för det förresten,thanks for that by the way
 jag hade önskat mig en ny kameraväska men josh hade köpt mig ett åttapack pepparspray istället,i had wanted a new camera bag but josh had bought me an eight pack of pepper spray instead
jag hade aldrig använt någon av dem vilket innebar att alla åtta flaskorna  minus den som låg i min handväska  låg i garderoben,I had never used any of them which meant that all eight bottles minus the one in my purse were in the closet
min sarkasm gick över huvudet på min bror,my sarcasm went over my brother's head
för att vara läkarstudent med högsta betyg kunde han vara ganska dum,"for a medical student with the highest grades, he could be quite stupid"
det var så lite,it was nothing
stanna där du är så kommer han snart,stay where you are and he will come soon
vi kan prata om din totala brist på självbevarelsedrift senare,we can talk about your total lack of self-preservation later
 jag är självbevarad protesterade jag,"I'm self-preserved, I protested"
var det rätt ord det är inte mitt fel att det inte finns någon  vänta vad menar du med han josh för sent,was that the right word it's not my fault there's no wait what do you mean he josh too late
han hade redan lagt på,he had already hung up
typiskt att han övergav mig för en av sina sängkompisar den enda gången jag ville att han skulle utveckla något,typical that he abandoned me for one of his bedfellows the only time I wanted him to develop something
jag var förvånad över att han inte hade flippat ut mer med tanke på att josh var något mer än överbeskyddande,i was surprised he hadn't freaked out more considering josh was anything but overprotective
ända sedan incidenten hade han tagit på sig att ta hand om mig som om han vore min bror och livvakt i ett,ever since the incident he had taken it upon himself to look after me as if he were my brother and bodyguard in one
jag klandrade honom inte  vår barndom hade varit hundra nyanser av strulig eller det var vad jag hade fått höra i alla fall  och jag älskade honom men hans ständiga oro kunde bli lite för mycket,i didn't blame him our childhood had been a hundred shades of messed up or so i'd been told anyway and i loved him but his constant worry could be a little too much
jag satte mig på bänken och tryckte väskan mot mig lät det spruckna lädret värma min hud medan jag väntade på att den mystiska han skulle dyka upp,i sat on the bench and pushed the bag against me letting the cracked leather warm my skin as i waited for the mysterious he to appear
det kunde vara vem som helst,it could be anyone
josh hade gott om vänner,josh had plenty of friends
han hade alltid varit populär  basketspelare elevrådsordförande och hemvändarkung i high school en del av sigmabrödraskapet och en favorit på campus i college,he had always been popular basketball player student council president and homecoming king in high school part of the sigma fraternity and a favorite on campus in college
jag var rena motsatsen,I was the complete opposite
inte impopulär i sig men jag skyggade för rampljuset och hade hellre en liten grupp nära vänner än en stor grupp snälla bekanta,not unpopular per se but I shunned the limelight and preferred a small group of close friends to a large group of kind acquaintances
där josh var festens mittpunkt satt jag i ett hörn och dagdrömde om alla platser jag skulle vilja besöka men förmodligen aldrig skulle lyckas komma till,where josh was the center of the party i sat in a corner and daydreamed about all the places i would like to visit but probably would never manage to get to
inte om min fobi fick fortsätta att bestämma,not if my phobia was allowed to continue to decide
min förbannade fobi,my damn phobia
jag visste att det var mentalt men det kändes fysiskt,i knew it was mental but it felt physical
illamåendet hjärtklappningen den förlamande rädslan som förvandlade mina ben och armar till värdelösa stela saker  det positiva var att jag åtminstone inte var rädd för regn,the nausea the palpitations the paralyzing fear that turned my legs and arms into useless stiff things the positive thing was that at least I wasn't afraid of rain
hav sjöar och pooler kunde jag undvika men regn  ja det hade varit illa,seas lakes and pools I could avoid but rain yes it would have been bad
jag var inte säker på hur länge jag satt i den lilla busskuren och förbannade min brist på förutseende när jag tackat nej till graysonparets erbjudande att köra mig tillbaka till stan efter vår fotografering,i wasn't sure how long i sat in the little bus stop cursing my lack of foresight when i declined the grayson couple's offer to drive me back to town after our shoot
jag hade inte velat besvära dem utan trott att jag kunde ringa en bil och vara tillbaka på thayercampuset på en halvtimme men himlen hade öppnat sig direkt efter att paret åkt och ja här var jag,i hadn't wanted to bother them but thought i could call a car and be back on the thayer campus in half an hour but the heavens had opened right after the couple left and yes here i was
